,10088636,10821417,12519691,11655196,15345386,14670888,17238717,21611569,25740070,,FLUSHING BRANCH,8620175,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,608700,685467,1036151,976100,1087286,1169650,1267213,1231743,1399822,,Rawson Street,600570,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,83260,160050,231428,216461,228294,242682,846721,625800,1014865,,Lowery Street,64870,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,376200,363200,434087,548783,948434,1160947,1671518,2422884,2957583,,Bliss Street,318560,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,392960,388040,303860,405874,672202,677906,677650,863382,1045285,,Lincoln Avenue,334580,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1282300,1340300,1471824,1379411,1659595,1756438,2015240,2309769,2447717,,Woodside,1047960,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,592580,622520,663183,601218,819423,843308,937564,1098918,1160773,,Fisk Avenue,556640,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,756936,739260,834942,845396,844484,818026,984028,1017180,1205046,,Broadway,706398,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,949700,1120840,1219215,1075048,1193826,1263875,1522306,1890370,2213006,,25th Street (Jackson Heights),802860,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,798800,765040,735423,749198,933630,938303,1161631,1438405,1629270,,Elmhurst Avenue,729000,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1298800,1357300,1658847,2458474,2683640,2087118,2059055,2419077,2754217,,Junction Avenue,1141400,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,3370400,3528000,4013218,2705006,2871143,2737249,3017138,3200413,3156808,,Albertus Avenue,2703200,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,,,,,,1268448,1696916,1874679,2047169,,111th Street (from 10/13/22),,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,,,,,,,118344,220193,20596,,Willets Point Blvd. (from 6/7/27),,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,,,,,,,,1476997,4054720,,Main Street - Flushing (from 1/21/28),,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,7897,8818,6547,8646,499,,,,,,Miscellaneous ticket sales,5245,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,,,126,733,1155,1965,9463,9951,14806,,N.Y. Rapid Transit Corp.'s Tickets - Cr.,,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,271105836,289740251,314680891,339558089,360488179,392100212,415747047,467465720,497903109,,"Total, Contract 3",215503078,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,639355780,644075474,676650431,714933187,736820672,784280078,814626596,897603467,932446803,,"Total, Subway Division",586098633,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,66978320,63012068,63808080,63778095,61407486,63227896,63030740,61448336,60780184,,SECOND AVENUE LINE - GROSS TOTAL,64389075,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,7458544,7104840,8341842,8055905,8848907,9121838,10463751,10700565,10358069,,CR. ADJUSTMENT OF JOINT TRAFFIC (Queensboro Sub.),7237280,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,58819785,55907228,55466238,55722606,55661179,53105867,52672006,60755671,50422090,,SECOND AVENUE LINE - NET,57152686,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3579201,3408400,3399810,3414886,3501730,3428104,3602596,3696140,3496770,,City Hall,3824828,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1820040,1872800,1655332,1628350,1649612,1480036,1451310,1376170,1317683,,Chatham Square,2146090,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2645056,2474529,2422322,2419545,2296518,2109907,2022768,,1655345,,Canal Street,2476118,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3368187,3280220,3165726,3135126,2911060,2816314,2865223,2553168,2198401,,Grand Street,3271112,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,4028060,3870484,3705830,3575256,2232467,2964145,2777093,2984012,,,Rivington Street,3766113,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2039025,2844843,2768552,2760814,2720735,2773112,2727370,2629568,2577794,,1st Street,2773389,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3582680,3576012,3539756,3574326,3401794,3572117,3719726,,4222225,,8th Street,3340908,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3388533,3362443,2376198,3246047,3880026,3626099,4064943,3989431,4222225,,14th Street,3203060,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1267839,1250740,1240862,1244390,1215860,1131354,1131766,1186505,1232232,,18th Street,1219637,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2004638,1956908,1968704,2066144,2161986,1989672,1969474,2115180,1833232,,23rd Street,1949190,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1749176,1718690,1847631,1994263,2108820,2032259,2169474,2114477,2894936,,34th Street,1727850,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2001600,2166100,2002208,1919836,1984930,1983740,1271603,1287005,1331474,,42nd Street,1964200,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1003093,998526,1006068,1084670,1167155,1183929,1137696,1213867,1307511,,50th Street,1204280,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2442240,2355200,2447876,2357409,2409171,2300033,2330053,1331503,1624672,,57th Street,2339920,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1363052,1308440,1348272,1293912,1363480,1263685,1826044,1776936,2729080,,65th Street,2310040,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3083080,2973160,2949649,2888783,2915492,2839829,2786727,,,,72nd Street,3165780,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2760650,2657800,2670580,2316571,2311051,2243270,2341161,2222417,2250781,,80th Street,2826144,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1469997,1499920,1333110,1277688,1258778,1199839,1164846,1158468,1025120,,86th Street,1508150,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1423680,1367660,1304943,1346444,1195685,1116127,1037998,985049,967911,,92nd Street,1427435,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1712946,1876814,1304943,1346444,1195685,1116127,1037998,985049,967911,,99th Street,1660036,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1365330,1376814,,,,,,,,,105th Street,1354700,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1719010,1664115,1561501,1482126,1414534,1315880,,994658,973276,,111th Street,1630225,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1399375,1256140,1171802,1153282,1085386,1024188,,807160,774899,,117th Street,1337230,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1070850,1034590,972847,937844,923364,859066,836595,,,,121st Street,1073416,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,943920,895820,884601,871900,841268,800712,803718,,8939,,125th Street,900370,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,40054,6039,8205,8012,6623,12811,,,Miscellaneous,,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,4749483,4025116,4049432,4308381,4277982,4201475,4874338,4255649,,,Adj. with Third Ave. El - Cr.,4382239,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,143173076,136022816,135882711,133664436,134963470,131789106,135870781,180104866,,,THIRD AVENUE LINE - GROSS TOTAL,140778076,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,1,1372043,1161730,1561780,2250690,2154875,3341491,2169331,,"CR. ADJUSTMENT OF JOINT TRAFFIC, PLAINS ROAD LINE",,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,142833645,184767060,133010668,157814233,133401740,129478416,133715906,182763397,124840150,,THIRD AVENUE LINE - NET,140778076,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1132645,1234867,4238132,4682716,4600482,4359042,4482832,4224442,4335774,,Whitehall Street (South Ferry),1606350,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2028800,1777300,1832115,1890490,1966805,2048817,2143040,1391472,1519677,,Hanover Square,2058369,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2921000,2736200,2971066,2877086,2826148,2726702,2802199,,,,Fulton Street,2799620,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,989483,863152,858514,844695,824980,797441,821998,903094,787453,,City Hall,923260,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,6883500,6219200,6346730,6942344,7239269,7673183,7512649,2399123,2629826,,Chatham Square,6663636,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2600700,2590040,2510208,2424012,2411270,2370956,2399388,,,,Park Row,2762540,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,4241500,3969500,3983084,4158371,3996697,3571856,3465438,3203458,3607102,,Grand Street,4072241,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,7875300,7199000,7024844,7089176,7003042,6754600,6765488,,,,Canal Street,7466335,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,1278380,1223700,1143842,1103962,905374,745728,648966,4209738,3896150,,Broome Street,1279560,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3985224,3722056,3719839,4045236,3871829,3674394,3674304,4021005,4388347,,9th Street,4056447,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3248006,3044000,2912363,3013264,2913163,2781340,2810309,,,,14th Street,3110780,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,2244606,2097295,2092542,2162164,2043683,1940252,1924478,1733535,1689160,,18th Street,3922236,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,5226894,5093531,5464072,5284062,3310782,3009743,3146157,2820854,,,23rd Street,5076154,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,3353470,3209271,3419631,3530787,3310782,3009743,3146157,2820854,2776453,,28th Street,3270855,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,THIRD AVENUE LINE—Concluded:,,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3653251,3459360,3611362,3907253,3806660,3659237,3532455,3652879,3616613,,34th Street,3581184,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,304560,145400,143820,180742,97606,71660,76400,61030,61160,,24th Street Ferry,252503,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3611920,3462700,3685583,4167663,5286133,5718900,6349294,6238512,6540700,,42d Street,3339140,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1470860,1290100,1358383,653184,,,,,,,Grand Central (to 12/2/23),1525427,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1629123,1376903,1589421,1579271,1676834,1591505,1540130,1638852,1672089,,47th Street,1518008,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1628679,1583707,1660761,1720276,1812084,1876891,1719280,1697571,1630869,,53d Street,1596143,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3664600,4299200,4476118,8498154,4422911,3376811,8561771,4450722,4481453,,59th Street,3637637,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2094069,2017076,1846570,1809348,1790846,1796846,1805468,1712946,1996900,,67th Street,2045804,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2530400,2442068,2379077,2295703,2220646,2141841,2234036,2076016,2072841,,73d Street,2548636,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2785940,2569103,2563676,2462652,2421450,2841018,2457506,2852547,2395406,,84th Street,2795463,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2116266,2005920,1933760,1908885,1772969,1707182,1922415,1752813,1750575,,89th Street,2178639,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2215814,2142700,2064675,2004730,1876442,1722851,1746998,1558168,1499518,,99th Street,2230047,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,6613140,5840340,4950678,4712880,4880469,4090990,4031584,3619113,3450100,,106th Street,5679204,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4989280,4847600,4674695,4544406,4369061,3797961,3761249,3391104,3907944,,116th Street,4944619,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3663900,3474900,3443125,3440694,3337245,3266195,3448184,3192369,3108222,,129th Street,3487922,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,713890,684000,661555,639557,664943,672866,563221,636138,521283,,129th Street,714870,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4989220,1039060,1040880,624458,,,,,,,Willis Avenue (to 4/15/24),909040,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1847990,1769300,1748768,1970616,2901517,3187852,3877830,3557145,3073768,,133d Street,1928766,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2114520,2079300,2096679,1901119,1876955,1895147,2014906,1907684,1897758,,138th Street,2233027,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1997900,1865500,1764875,1640980,1606911,1565048,1632491,1572259,1513009,,143d Street,2068549,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3438800,3211000,3144591,3062329,3009456,2882027,3069309,3024022,2964319,,149th Street,3492509,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3417200,3479200,3216761,3428814,4082967,2077388,2197852,2045884,2026638,,156th Street,3454012,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3704800,3503700,3427662,3404451,3281782,3196206,3317480,3317275,3181003,,161st Street,3655166,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3866300,3680000,3621630,3599337,3465411,4408312,3371245,3321172,3241827,,166th Street,3920692,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4007700,4632000,4454460,4826348,4271265,4763997,4184638,4045783,3753497,,169th Street,3918247,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4582700,4386100,4235959,4095925,3937407,3807107,3844834,3786543,3729153,,Claremont Parkway,4555225,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3789400,3600500,3580724,3513849,3339057,3281119,3217640,3235234,3113179,,174th Street,3779186,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4321600,4132800,4134171,4807684,4413501,4419957,4619403,4556654,4520845,,177th Street,4374853,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2957040,2838520,2716969,2643519,2651258,2744596,2880746,2827730,2778049,,180th Street,2904324,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4767630,4533600,4362640,4145184,4019376,3762969,4175829,4127116,4035460,,183d Street,4789724,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2616400,2581800,2568931,2677651,2763685,2821043,3028951,3106347,4422247,,Fordham Road,2483680,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1833800,1424400,1396959,1661665,1379040,1255459,1285388,1212124,1103328,,Bronx Park,2262470,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,113285,262869,210457,246459,369690,376329,291178,258500,355438,,200th Street,,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,298320,429540,514765,578660,644650,691518,791317,867528,963791,,204th Street,,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,-164780,374090,261820,228697,370791,867476,465779,556659,639078,,Williamsbridge-210th Street,,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,62761,40749,12189,25607,25878,23478,27345,26178,45178,,Miscellaneous,229042,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,4749453,4025116,4049432,4308381,4277932,4201475,4374338,4255649,4472761,,Adjustment with Second Ave. El—Dr.,4382239,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,124561013,119609010,118404476,117864765,116109600,115916040,122476418,122930172,123043884,,SIXTH AVENUE LINE—GROSS TOTAL,125374820,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,,,,,,,,,,,"Ca. Adjustment of Joint Traffic, Lex—",,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,7426464,8107151,3812811,5133561,4196558,3706956,3358519,5088537,5630660,,INGTON AVE.,7548585,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,116924649,108371866,108691665,112821192,110912948,112118984,117817809,117820641,117411884,,SIXTH AVENUE LINE—NET,116826704,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
