Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,Saratoga Avenue,1201995,1193142,1070817,987165,3245823,2215450,3212964,2013365,1349846,420250,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Rockaway Avenue,3809058,,812256,488275,485405,678572,1220606,1183619,1155601,1162383,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Hinsdale Street,552968,785659,,,1234474,1212635,1301169,1189943,1246528,1296809,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Pennsylvania Avenue,1379004,1365628,1320418,1830229,1316303,1295769,,,1415699,1435854,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Van Siclen Avenue,1644901,1490467,1407179,1632413,1604294,1460187,1266210,1237832,1202817,1202678,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Linwood Street,904963,1678693,1614283,1804903,,1350156,1125212,1101746,1053149,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Montauk Avenue,1554596,1495438,1401263,1069492,1103802,1105619,606981,643437,613963,521327,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Chestnut Street,1279390,1056690,1057179,617971,943770,613474,,,1059111,1044613,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Crescent Street,704202,683293,647630,,1377063,1179448,1201631,1121142,,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Crescent Street (City Line),1295655,1281272,1203179,1130096,759478,761427,799740,694483,924010,926553,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Grant Avenue (City Line),1392305,1266178,823403,810212,,945198,,,756264,765910,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Hudson Street (80th Street),1157013,1104632,1049846,983969,963514,2447989,2487965,2489204,1965993,1821952,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Boyd Ave. (88th Street),1786328,1826004,1817456,1208903,2411046,1173058,1176637,1471159,1754260,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Rockaway Blvd. (96th Street),1760079,1989079,1927156,1411483,1104405,1172058,1335890,1195115,1087163,1050039,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Oxford Avenue (104th Street),1345778,1261697,1200857,1128035,1167440,,3478614,3165417,2776984,2690149,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Greenwood Avenue (111th Street),4388865,4243281,,3624091,2631003,3467628,,,,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Lefferts Avenue (119th Street),,49665072,49822010,40849728,45594961,46085825,47800128,44074023,87460517,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,LEXINGTON AVENUE (JAMAICA) LINE,81791833,,,,,,,,,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,High Street,72952,61871,57058,6211,,,5580034,2205104,1509615,1844804,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Adams Street,3479163,3325807,3062430,,1930889,1342081,1831464,796010,563617,573782,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Bridge Street,2771584,2588307,3137849,1955460,,,336619,758931,660487,594107,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Navy Street,909315,877040,847172,741174,771699,774472,844265,,,484660,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Vanderbilt Avenue,931020,990587,836256,774899,819090,836988,831099,860265,807453,288854,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Washington Avenue,992137,998696,883000,877337,805860,891958,411439,399779,278627,265891,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Myrtle and Grand Avenues,460579,908696,440886,899896,880051,391958,,,387037,189470,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,De Kalb Avenue,492659,453982,820112,291480,294005,296310,314251,388769,280764,239976,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Greene Avenue,855362,514924,479093,435202,700372,664498,604640,611204,459401,380198,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Franklin Avenue,915706,726040,673731,666666,659191,647173,682756,587016,660598,569033,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Nostrand Avenue,943303,742090,706605,686537,687840,680025,846645,765532,665085,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Tompkins Avenue,1090281,1020278,943100,661984,663432,633872,553909,523536,,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Sumner Avenue,728836,688024,650819,,,,,,,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Reid Avenue,,,,,,,,,3960131,2923285,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,Gates Avenue,4020453,3699603,3431976,2167895,3127667,3093699,3108755,3056658,,,,,,,8,"Fares collected by stations on company-owned lines (Brooklyn Bridge Stations and Lexington Avenue/Jamaica Line partial), Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,LEXINGTON AVENUE (JAMAICA) LINE - Concluded,,,,,,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Halsey Street,3293377,3049795,2790855,2601742,2517074,2482471,3564903,2532490,2475802,2423500,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Chauncey Street,2288081,2129496,1980853,1773850,1696999,1663065,1684367,1487292,1442302,1395100,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Eastern Parkway,819929,861048,816534,744260,730531,720214,750556,563591,560867,684789,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Alabama Avenue,808527,811334,789631,742746,697825,686753,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Van Siclen Avenue,1223986,1311697,1178269,1080312,1072148,1082141,1126518,1050449,1005682,1010044,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Cleveland Street,1275003,1230201,1214253,1144530,1129147,1139678,1139858,1065832,1080516,1011598,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Norwood Avenue,1310440,1344673,1292264,1179339,1126948,1099393,1214277,1182563,1153623,1155888,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Crescent Street,1719650,1617343,1562864,1505318,1505766,1507543,1501485,1450520,1401771,1308707,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Cypress Hills,604528,674949,608684,534502,582803,601430,,980640,1227319,1177631,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Elderts Lane,,,,,,,974095,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Forest Parkway,1825194,1774677,1778576,1729025,1718254,1709616,1801069,1699314,1638345,1625327,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Woodhaven Boulevard,1653893,1673786,1729947,1705863,1787355,1786400,1308996,1147280,1121904,1124360,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,102nd Street,,,,,1401850,1183690,,,1290896,1268963,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,111th Street,1352475,1823435,1895661,1436671,1518080,1638924,1595253,1516248,1290896,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,121st Street,1182621,1165128,1205488,,948796,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Metropolitan Avenue,,,,1584607,645796,644735,668056,605773,502238,499619,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Queens Boulevard,718915,721634,775337,682894,691465,673511,727133,677220,381437,190038,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Sutphin Blvd. (L.I.R.R. depot),2670407,2998154,3063495,3581266,3448109,3170314,3218377,2504116,1802150,1780460,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,168th Street,,,,,,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,169th Street,3762311,4005349,4420054,4892154,5080420,5269906,2799294,3891265,2207219,13608888,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,MYRTLE AVENUE LINE,20080917,20001631,18726388,,16301479,16260344,16730460,16735360,14498049,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Franklin Avenue,,,,16221106,,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Park Avenue,1208640,1234821,,823085,831892,826905,879846,560037,662428,688277,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Classon Avenue,1335407,1312991,1344647,,,1059219,1134758,1096856,1098723,1054943,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Tompkins Avenue,1665869,1582474,1431888,636891,848314,816161,849821,857452,675018,601909,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Sumner Avenue,993609,,,,,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Central Avenue,1402685,1812518,1327164,1113218,1084420,1037281,1063897,1071834,1009546,1434924,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Knickerbocker Avenue,1743039,1779553,1682264,1601068,1600220,1490560,1475153,1574815,1427318,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Wyckoff Avenue,2623010,2267441,2033708,1745008,1674554,1627646,1623747,1595940,1482882,1437441,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Seneca Avenue,1349988,1212410,1072956,930553,953949,902667,949182,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Forest Avenue,2425622,2361064,2158944,2073866,2032548,2039888,2101358,2013183,1886179,1834945,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Fresh Pond,2453683,2531144,2395104,2922523,2954429,2871388,2903881,2847261,2700034,2024613,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Metropolitan Avenue,2409118,2553303,2661928,2469445,2578937,2349008,2570438,2370605,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,BROADWAY (BROOKLYN STATION),,,,,,,4445028,4201531,3862461,4728155,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Hewes Street,4413303,4329456,4316205,4370907,4512479,4499628,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Lorimer Street,3117641,3056971,2833100,2702834,2743289,2731528,2240060,2151076,1745429,1637710,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Marcy Avenue,,,,,,,2634479,2657623,2424553,2295152,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Myrtle Avenue,3028800,3586265,3256888,3000728,2936492,3790674,2834479,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Mushroom Avenue,4142227,3678418,3631867,4817988,3515148,3521010,1549403,1665811,1504972,1460303,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Kosciusko Street,,,,,,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,CANARSIE LINE,18870474,11635193,10786965,9941896,9726683,9368891,2009808,9297598,9772819,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Sutter Avenue,3336140,3195824,2919432,2670878,2695101,,1835461,1782033,1691121,1679983,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Livonia Avenue,2993928,2803138,2638188,2449190,2855161,1795840,1921326,1860599,1765930,1741200,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,New Lots Avenue,2300538,3165689,2049964,1935690,1924005,1378316,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,East 105th Street,197474,207298,239455,,,,,,,,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,Rockaway Parkway,4016281,3805146,3467117,3141035,3125730,3032960,3089057,2991968,2899403,2834286,,,,,8,"New York Rapid Transit Corporation - Fares collected by stations, Fiscal Years Ended June 30, 1930-1939, continuation of Lexington Avenue (Jamaica) Line and Myrtle Avenue Line, Broadway (Brooklyn Station), Canarsie Line"
,,,,,,,,,,,BROADWAY-FOURTH AVENUE LINE,856807818,843004768,881641422,805176455,827106451,823108814,826707899,889829010,878874180,870019854,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Queens Plaza,,,,,,2790955,3590092,2902579,2676067,2776857,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,"BROADWAY LINE, MANHATTAN",160905105,163828167,176685808,164149140,163165064,161104785,,3459952,4140532,4094628,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Lexington Avenue,6204618,6278139,6034649,4704458,4531966,3004778,8322490,3326931,3263810,3077120,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Fifth Avenue,4016079,4091905,3704499,3586894,3310876,6402053,,10180367,8850290,9673180,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,57th Street,5650120,8148104,7565061,6960945,6725147,,10602548,10434369,9898290,9058502,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,49th Street,11282751,10691079,9833612,9261985,8716967,10066652,,23090802,31583887,31082181,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,Times Square,30584453,33264776,30484499,34505969,35501634,27887977,,,,32445029,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
,,,,,,,,,,,34th Street,10583928,30632776,29297882,27680115,27805121,,5868489,5320522,4942845,4993317,,,,,9,"Upper table: Stations on City-Owned Lines ridership data for fiscal years 1930-1931 and additional years, covering Broadway-Fourth Avenue Line, Broadway Line Manhattan, Centre Street Loop, Nassau Street Loop, Montague Street Tunnel, Flatbush Avenue, Fourth Avenue Line Brooklyn, New Utrecht Avenue, and Culver Line stations"
