Date,Fare,Notes,Segment,Station,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,_page,_page_desc
,,,Jamaica,168 St. (Closed 9/11/77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2803940,2965099,2872948,2713252,2606842,2361131,2035123,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,160 St. (Closed 9/11/77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,784318,811838,763697,715898,661710,582099,516489,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Sutphin Blvd.-LIRR (Closed 9/11/77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082844,1161672,1044542,1005227,923294,774316,732941,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Queens Blvd. (Closed 4/15/85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,176225,191012,172730,151159,155151,150597,141896,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Metropolitan Ave. (Closed 4/15/85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,251667,271201,249379,235160,229429,224039,213992,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,121 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473512,503079,448154,389858,369689,336125,318579,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,111 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477191,491785,436353,401179,389082,351411,324071,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,104-102 Sts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453851,498686,450873,403456,395495,372600,340135,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Woodhaven Blvd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684434,756905,644418,591921,563452,511386,477386,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Forest Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666484,692075,645665,593215,570333,527255,496707,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Elderts Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505255,523981,470012,442664,421402,400489,381714,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Cypress Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177964,196488,166098,375224,339663,356530,283437,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Crescent St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733402,763359,712199,672219,649460,604500,580437,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Norwood Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513943,548275,517824,504299,491788,489064,474842,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Cleveland St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574383,614254,580086,568687,561261,533065,529283,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Van Siclen Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507406,537541,556097,571456,564361,552346,540388,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Alabama Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289527,312184,286173,292431,278715,266787,255302,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Chauncey St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059370,1117043,1057053,997326,914626,821405,736636,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Halsey St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851674,1930297,1755163,1670621,1498690,1358916,1223716,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Gates Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905563,2015007,1897039,1767396,1639834,1522000,1426591,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Kosciusko St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146130,1235394,1133901,1058907,978836,902729,825433,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Myrtle Ave./Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841923,1950810,1763811,1678597,1557070,1448139,1408101,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Flushing Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593280,1711066,1547603,1456715,1411374,1354284,1318195,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Lorimer St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028913,1091070,1019304,961006,883312,827062,793412,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Hewes St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198514,1253662,1153462,1002415,931360,853890,816415,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Marcy Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517989,2593663,2337514,2212095,2076402,1938303,1903811,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Jamaica,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25299701,26704402,24682490,23257683,21860233,20203601,18949244,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Myrtle Ave.,Metropolitan Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037957,1057759,984890,967072,948684,922221,883842,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Myrtle Ave.,Fresh Pond Rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045561,1068391,989821,948410,936338,904087,894204,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Myrtle Ave.,Forest Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740471,735459,662652,664543,581543,541871,494963,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Myrtle Ave.,Seneca Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355221,351269,308988,297855,298930,297722,315753,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Myrtle Ave.,Knickerbocker Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947840,954078,820467,794518,755152,703768,673752,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Myrtle Ave.,Central Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602747,698913,505085,483503,467037,436252,396718,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Tompkins Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341058,245578,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Nostrand Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400639,290617,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Franklin Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298152,213325,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Franklin Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425594,332247,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Grand Avenue (Closed 1/21/53),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Washington Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435025,307422,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Vanderbilt Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395578,104985,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Conductor's Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332579,266986,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Sumner-Vandrbilt Closed 10/3/69,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7358422,6727066,4271903,4105901,3987568,3785921,3705238,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,DeKalb Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Greene Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Franklin Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Nostrand Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Tompkins Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Sumner Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Reid Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Conductor's Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Lexington Av El Closed 10/13/50,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1968-1974, page 37"
,,,Canarsie,Rockaway Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711230,1719227,1772741,1925665,2119369,1909194,1851012,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,E. 105 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622301,633778,651120,669170,670155,614021,627434,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,New Lots Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523602,467999,425631,424630,421931,372844,370113,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Livonia Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373832,327423,306008,294491,281211,248283,231370,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Sutter Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627571,563008,530645,575460,594298,540749,548679,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Atlantic Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297277,249036,216559,221920,222401,168455,154551,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Bushwick Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145903,146783,153196,171839,186573,157939,152737,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Wilson Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584305,529801,514232,536466,548437,486472,477524,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Halsey St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819451,812954,816687,839551,898758,845730,863372,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,DeKalb Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040352,1008712,991800,1085207,1103540,1051016,1100648,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Jefferson St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774897,771318,769987,877066,874886,780762,792050,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Morgan Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706338,652415,603537,631262,652626,598836,571031,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Montrose Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575287,580720,598615,638880,625319,579473,582548,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Grand St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754651,686158,665749,647084,687284,651227,682103,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Graham Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953911,913621,898625,899623,976873,958545,960061,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Bedford Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319757,1249386,1204241,1243805,1293867,1206296,1264926,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Conductor's Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Canarsie,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11810565,11297343,11130366,11806270,12104849,11054238,11170059,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,168 St. (Closed 9/11/77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870931,1683426,1033623,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,160 St. (Closed 9/11/77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481799,409307,257516,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Sutphin Blvd.-LIRR (Closed 9/11/77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690909,620659,400612,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Queens Blvd. (Closed 4/15/85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138313,133990,213757,424806,440836,418533,421032,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Metropolitan Ave. (Closed 4/15/85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193496,187892,179737,197693,201181,182491,187397,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,121 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304383,301067,286428,303584,315481,303263,311263,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,111 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293232,271787,241405,251284,275169,263568,272388,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,104-102 Sts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316026,302344,278406,280936,299096,282157,284056,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Woodhaven Blvd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444912,446480,431721,431721,464848,408517,474950,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Forest Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474341,443537,399546,405634,401458,385623,384702,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Elderts Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365638,348351,340205,386602,400262,383592,406422,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Cypress Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136845,131254,135329,141359,159875,169241,293016,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Crescent St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556726,542774,525628,595374,574169,591282,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Norwood Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476074,471090,486576,532979,593439,585634,310523,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Cleveland St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513854,492717,496778,544138,579971,552739,389775,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Van Siclen Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523655,493808,467537,494672,514475,504035,509471,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Alabama Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238953,205301,190906,174522,175937,157232,149402,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Chauncey St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657545,548517,488291,468286,466087,443176,441525,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Halsey St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069502,994090,886300,887199,866314,801465,835304,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Gates Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278159,1102107,939776,933078,921710,848777,832448,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Kosciusko St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727563,641529,616367,654154,652040,618418,630121,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Myrtle Ave./Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062803,1057206,1100268,1100500,1100500,1002388,,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Flushing Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200314,1121129,1133492,1287372,1361821,1209269,1204507,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Lorimer St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758175,695005,658701,704141,723352,683369,709705,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Hewes St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755820,623744,567744,559545,594545,579847,466941,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Marcy Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800881,1660298,1594761,1711038,1751618,1638648,1623233,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Jamaica,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17548524,15974363,14293995,13483223,13875901,13018520,12780071,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Myrtle Ave.,Metropolitan Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902184,863683,820488,868824,886097,869576,916562,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Myrtle Ave.,Fresh Pond Rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880427,871909,843559,908083,906899,858591,892070,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Myrtle Ave.,Forest Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535869,531869,510464,554793,565978,542208,565856,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Myrtle Ave.,Seneca Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314144,309391,286428,336309,332649,337175,350040,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Myrtle Ave.,Knickerbocker Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623647,537098,463010,469611,488824,460430,463663,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Myrtle Ave.,Central Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342722,307792,287149,290371,293572,276148,270277,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Sumner-Vandrbilt Closed 10/3/69,Tompkins Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Sumner-Vandrbilt Closed 10/3/69,Nostrand Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Sumner-Vandrbilt Closed 10/3/69,Franklin Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Sumner-Vandrbilt Closed 10/3/69,Grand Avenue (Closed 1/21/53),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Sumner-Vandrbilt Closed 10/3/69,Washington Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
,,,Sumner-Vandrbilt Closed 10/3/69,Vanderbilt Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,"Annual Registrations by Station 1940 to 1995, years 1975-1981, page 38"
